customer_id,income,payment_history,number_of_open_credit_cards,credit_score,total_debt
1001,133073,0.74,11,450,38731
1002,39858,1.0,11,850,172308
1003,33814,0.82,15,610,397710
1004,29438,0.98,7,775,42959
1005,90072,0.75,9,455,179875
1006,76464,0.92,6,707,89255
1007,41185,0.99,4,801,370921
1008,66572,0.76,15,509,206573
1009,36743,0.92,11,722,124606
1010,88197,0.76,13,513,422670
1011,126719,1.0,1,845,12955
1012,25357,0.78,7,569,401436
1013,122665,0.7,12,388,409947
1014,87616,0.8,8,595,149029
1015,127182,0.7,15,359,37226
1016,147908,0.75,8,496,280203
1017,29027,0.7,1,391,194192
1018,35333,0.75,11,464,75611
1019,61250,0.83,9,654,16856
1020,141776,0.82,11,610,104188
1021,87019,0.99,15,803,368961
1022,28068,0.83,0,651,3906
1023,52246,0.7,7,372,289607
1024,93688,0.88,4,679,351623
1025,58586,0.76,10,511,148354
1026,102202,0.78,6,564,294835
1027,56009,0.77,12,535,377426
1028,123388,0.98,8,767,213432
1029,105618,0.88,11,677,7857
1030,73641,0.99,11,810,140533
1031,44930,0.75,11,475,163287
1032,113876,0.75,0,495,127055
1033,53860,0.82,13,606,429960
1034,28864,0.7,5,357,206309
1035,94348,0.74,0,441,269823
1036,52701,0.88,10,689,8418
1037,71739,0.99,13,818,172059
1038,46748,0.7,15,356,133877
1039,37232,0.98,10,751,448963
1040,53119,1.0,3,826,431946
1041,149457,0.82,1,602,413800
1042,113490,1.0,9,307,484163
1043,145479,0.72,4,411,263521
1044,25731,0.77,13,547,342509
1045,102441,0.82,11,612,338756
1046,143827,0.82,13,604,239150
1047,89845,0.98,6,783,397400
1048,86256,0.83,5,626,72888
1049,66808,0.82,5,623,312553
1050,132396,0.72,10,405,135261
1051,119772,0.75,3,468,110015
1052,26823,1.0,11,845,64449
1053,73329,0.76,9,520,461486
1054,136166,0.98,14,776,270416
1055,132857,1.0,0,309,220497
1056,33278,0.76,15,522,389227
1057,67182,0.8,3,600,119408
1058,137014,0.75,2,473,492446
1059,50551,0.8,4,600,186297
1060,123410,0.92,1,710,58517
1061,149143,0.78,7,560,66899
1062,68303,0.92,14,714,249450
1063,102411,0.76,4,515,250597
1064,148804,0.98,8,799,391272
1065,104817,0.8,14,577,297533
1066,36615,0.7,9,361,220328
1067,135846,0.83,7,630,185912
1068,59177,0.98,5,767,6661
1069,144532,0.98,1,782,241434
1070,66543,0.77,6,539,232634
1071,39540,0.78,8,551,83848
1072,68779,0.92,8,709,217289
1073,107455,0.98,1,786,389758
1074,25725,1.0,15,317,284085
1075,39024,0.74,15,450,33421
1076,69169,1.0,14,343,393113
1077,76754,0.77,10,549,292592
1078,130395,0.99,4,824,437074
1079,48633,0.83,1,641,4528
1080,122871,0.76,9,524,36903
1081,80884,0.96,6,741,282615
1082,121547,0.96,14,733,257850
1083,79070,0.72,9,420,242660
1084,141375,0.75,8,460,333091
1085,144157,0.76,14,520,396087
1086,82255,0.78,12,552,67461
1087,40831,0.98,3,778,15666
1088,53083,0.7,15,353,65947
1089,112005,0.72,5,415,393744
1090,100363,0.77,4,550,164983
1091,140879,0.98,7,773,480292
1092,141934,0.8,0,584,309194
1093,118537,1.0,11,321,325030
1094,114054,0.85,4,674,410488
1095,64009,0.74,13,437,446432
1096,40043,0.77,11,528,182397
1097,122277,0.83,15,649,217351
1098,142421,0.85,6,659,243566
1099,113138,0.72,12,424,400575
1100,65839,0.82,12,602,224777
1101,133961,0.72,0,415,427559
1102,107272,0.98,1,773,86220
1103,144750,0.83,12,639,376765
1104,46953,0.76,8,522,103945
1105,107943,0.98,14,775,462939
1106,60874,0.96,6,726,329893
1107,32247,0.75,7,468,33620
1108,128907,0.83,11,638,427205
1109,35096,0.77,4,533,454901
1110,140193,1.0,15,842,160210
1111,75063,0.76,1,523,283579
1112,66963,0.75,4,462,278625
1113,96083,0.8,9,582,249243
1114,145826,0.76,4,506,202141
1115,75537,0.85,6,660,171358
1116,25807,0.7,12,397,196288
1117,52842,1.0,13,340,269488
1118,75794,0.7,9,363,423440
1119,51586,0.8,3,585,38763
1120,119114,0.96,4,734,494357
1121,73727,0.83,11,628,141652
1122,59106,0.75,5,473,224844
1123,135974,0.88,8,688,148599
1124,96137,0.74,4,447,196213
1125,140326,0.72,10,423,104714
1126,83009,0.85,0,661,14155
1127,85735,0.78,11,567,338408
1128,124837,0.99,6,804,106252
1129,47278,0.92,14,705,87021
1130,43598,0.88,3,698,285895
1131,64025,0.98,1,766,112546
1132,96030,0.75,3,477,88435
1133,42589,0.99,1,802,342825
1134,96850,0.76,14,507,269661
1135,44837,0.8,3,599,111529
1136,145431,0.75,3,481,437083
1137,104552,0.74,5,448,468513
1138,71518,0.82,9,603,167800
1139,106976,0.98,15,751,30650
1140,30090,0.8,14,595,387354
1141,83206,1.0,14,339,302620
1142,142315,0.7,7,393,360630
1143,68798,0.77,14,529,244525
1144,102070,0.92,4,724,68870
1145,127130,0.98,1,783,7510
1146,54304,0.92,1,716,416511
1147,112296,0.96,9,750,384121
1148,33786,0.75,14,489,465753
1149,116599,0.98,10,752,414118
1150,80905,0.8,6,588,67781
1151,45559,0.7,6,380,158987
1152,99568,0.98,7,762,431699
1153,104945,0.98,7,760,141293
1154,133684,0.77,12,534,193277
1155,92943,0.74,15,449,110751
1156,100546,0.85,4,659,498495
1157,92383,0.85,14,662,291520
1158,119503,0.78,15,554,146867
1159,94492,0.76,0,514,21981
1160,104653,0.88,0,685,66097
1161,117523,0.78,8,575,109462
1162,111067,0.99,1,802,395190
1163,123662,0.72,9,419,225938
1164,145346,1.0,5,337,332463
1165,26723,0.92,12,706,411363
1166,138872,0.98,5,752,230305
1167,29999,0.7,4,360,493014
1168,148908,1.0,15,318,139419
1169,98119,0.96,7,746,293097
1170,75531,0.75,8,454,73631
1171,130494,1.0,3,845,230312
1172,99713,1.0,0,336,394712
1173,93798,0.75,2,499,231522
1174,115906,0.7,3,398,219724
1175,105927,0.75,13,454,494637
1176,80874,0.85,5,671,328628
1177,51463,0.83,6,649,214574
1178,98494,0.77,14,550,302323
1179,118094,0.92,2,717,16726
1180,142949,0.83,11,654,441982
1181,49961,0.82,1,603,44514
1182,68675,0.76,5,521,21580
1183,118952,1.0,3,312,280211
1184,64133,0.78,15,551,331348
1185,108997,0.96,10,726,255598
1186,71699,0.98,9,771,192518
1187,140888,0.78,11,555,65746
1188,64015,0.98,3,766,245172
1189,99743,0.82,7,613,9960
1190,51594,0.88,13,678,414218
1191,111636,1.0,2,342,292041
1192,57555,0.7,15,353,239859
1193,56104,0.78,3,552,61929
1194,37604,0.74,1,430,305409
1195,85738,1.0,6,834,172767
1196,53713,0.88,7,693,78573
1197,35970,0.77,0,533,215309
1198,122910,0.88,7,698,10860
1199,115727,0.82,4,604,48085
1200,141663,0.75,9,495,218983
1201,26159,0.92,6,716,478817
1202,122578,0.98,6,772,243272
1203,141236,0.98,12,787,25935
1204,51737,0.7,7,394,44627
1205,125638,0.83,3,644,276497
1206,126029,0.7,2,370,180459
1207,37321,0.92,13,715,370764
1208,148656,0.96,4,730,160491
1209,100564,0.76,5,508,441647
1210,128623,0.85,3,664,61840
1211,54838,1.0,2,306,113531
1212,123489,0.75,3,492,446352
1213,47538,0.8,2,587,274378
1214,138910,0.75,14,480,139785
1215,85230,0.92,1,718,186327
1216,102873,0.77,8,549,397976
1217,139534,0.77,13,547,471559
1218,80164,0.75,8,465,218549
1219,26831,0.98,12,797,80206
1220,146801,0.75,5,474,472865
1221,148854,1.0,13,318,314999
1222,145656,0.85,9,660,400041
1223,149272,0.8,5,591,155243
1224,140071,0.96,12,739,225942
1225,102762,1.0,15,317,496584
1226,77981,0.82,11,621,130918
1227,50696,0.83,14,633,267903
1228,70204,0.75,1,481,353873
1229,102304,0.88,11,690,53566
1230,93873,0.78,4,564,278409
1231,88480,0.83,10,644,46973
1232,149102,0.96,14,734,64444
1233,109975,1.0,0,313,345851
1234,101988,0.7,13,373,188895
1235,106388,0.96,8,727,464265
1236,50096,0.75,4,451,441710
1237,67153,0.7,11,385,338585
1238,47398,0.7,11,353,218087
1239,84326,0.98,4,765,182335
1240,113600,0.99,1,804,388060
1241,37319,0.75,2,453,275112
1242,127647,0.8,9,577,61874
1243,121557,0.78,10,566,81276
1244,25888,0.76,5,514,103457
1245,130734,1.0,4,305,79531
1246,106034,0.76,3,506,340381
1247,74483,0.85,7,675,121450
1248,142036,0.78,0,575,174274
1249,31375,0.77,7,528,490289
1250,38787,0.8,10,586,159319
1251,143345,0.75,9,499,93727
1252,75003,0.72,7,402,315496
1253,110676,0.75,14,484,282766
1254,81534,0.92,11,721,2864
1255,51793,0.72,9,423,945
1256,74865,0.98,9,767,347329
1257,146996,0.88,14,687,65314
1258,113417,0.75,9,496,430398
1259,134036,0.98,0,754,477103
1260,94969,0.82,11,608,282824
1261,93653,0.82,7,610,227163
1262,39638,0.8,15,585,82330
1263,60616,0.75,11,490,74394
1264,97855,0.74,0,443,455718
1265,105570,0.77,2,530,268739
1266,91420,0.72,11,416,332345
1267,108942,1.0,7,345,79312
1268,50689,0.75,15,472,381219
1269,98102,0.82,8,602,43673
1270,54073,0.78,6,557,477089
1271,120276,0.76,9,511,252361
1272,35478,0.82,3,617,440995
1273,135264,0.74,2,450,184356
1274,60038,0.75,11,453,151739
1275,129801,1.0,7,312,121032
1276,149266,0.85,10,675,474661
1277,65898,0.88,4,681,326831
1278,80599,0.75,9,495,57633
1279,50715,1.0,0,315,30174
1280,79806,0.75,9,461,286465
1281,57627,0.85,2,659,224941
1282,142744,0.76,6,521,341898
1283,131641,0.74,3,450,422145
1284,149753,0.85,6,663,37972
1285,83403,0.98,3,795,493976
1286,44709,1.0,11,303,184217
1287,55494,0.75,9,489,91060
1288,113633,0.82,12,610,52399
1289,115028,0.98,6,762,461469
1290,35831,0.75,0,486,496189
1291,108126,0.75,8,484,147410
1292,61534,1.0,8,314,453064
1293,121259,0.76,2,514,340751
1294,31213,0.75,12,458,452733
1295,133525,0.7,3,366,297594
1296,132437,0.77,8,535,131804
1297,129126,0.88,0,684,344257
1298,118275,0.99,9,810,414093
1299,77432,0.98,4,787,318566
1300,141220,0.98,0,776,358098
1301,109231,0.98,11,782,150413
1302,56848,0.8,11,592,294729
1303,26632,0.74,8,439,336191
1304,40563,0.7,7,396,246547
1305,121667,0.77,4,549,123335
1306,115096,0.82,0,619,72205
1307,114661,0.76,13,522,302833
1308,78383,1.0,7,331,133879
1309,44000,0.78,7,555,119505
1310,49538,1.0,12,320,124190
1311,72259,0.77,7,546,330992
1312,125684,0.99,3,818,329091
1313,85593,0.85,13,675,181845
1314,56479,0.99,5,816,43411
1315,79739,0.82,5,611,55706
1316,112391,0.83,11,639,468841
1317,45164,0.83,5,633,338047
1318,53014,1.0,14,347,494899
1319,138625,0.76,12,513,492571
1320,127387,1.0,14,829,301981
1321,114114,0.83,13,631,159588
1322,58036,0.76,10,525,435883
1323,48964,0.78,2,559,264954
1324,90512,0.8,6,594,38903
1325,37390,0.92,13,717,68638
1326,145079,0.88,11,677,189644
1327,119232,0.72,0,419,215746
1328,114183,0.75,2,481,420061
1329,75842,0.96,15,742,435522
1330,77396,1.0,11,337,357855
1331,140008,0.75,7,470,147462
1332,145567,0.74,6,437,385528
1333,40187,0.98,12,778,73626
1334,85688,0.76,10,515,472000
1335,62946,0.7,15,381,212330
1336,50715,0.98,1,754,439050
1337,46017,0.82,6,623,309385
1338,123535,0.76,4,501,206697
1339,30315,0.88,4,698,124409
1340,124520,0.8,15,580,14244
1341,99615,0.76,12,510,291330
1342,110992,0.78,12,565,279448
1343,124065,0.77,10,547,477900
1344,117332,0.77,8,539,61088
1345,63840,0.78,8,563,406902
1346,122475,0.7,11,385,281785
1347,60594,0.98,0,778,136346
1348,133408,1.0,5,342,363304
1349,100839,0.85,3,661,89086
1350,147391,1.0,5,341,22519
1351,88572,0.7,8,394,162312
1352,85767,0.75,6,478,237232
1353,49621,0.83,3,648,232270
1354,61638,1.0,6,323,415326
1355,79273,0.96,2,748,244097
1356,138611,0.77,8,545,419631
1357,36337,0.96,3,738,78725
1358,144780,1.0,4,350,30055
1359,103875,1.0,3,304,282878
1360,133403,0.98,15,756,254357
1361,140996,0.8,9,599,184252
